iStep Time x y z Wx Wy Wz
       184  4.60000E+00  1.62887E+00  1.69439E+00  1.60000E+00  4.64106E-01 -1.80905E-01  0.00000E+00
       185  4.62500E+00  1.63810E+00  1.68815E+00  1.60000E+00  4.12619E-01 -2.78978E-01  0.00000E+00
       186  4.65000E+00  1.64573E+00  1.68002E+00  1.60000E+00  3.40740E-01 -3.63251E-01  0.00000E+00
       187  4.67500E+00  1.65137E+00  1.67041E+00  1.60000E+00  2.52026E-01 -4.29561E-01  0.00000E+00
       188  4.70000E+00  1.65475E+00  1.65979E+00  1.60000E+00  1.50851E-01 -4.74632E-01  0.00000E+00
       189  4.72500E+00  1.65569E+00  1.64868E+00  1.60000E+00  4.22138E-02 -4.96231E-01  0.00000E+00
       190  4.75000E+00  1.65416E+00  1.63765E+00  1.60000E+00 -6.85127E-02 -4.93276E-01  0.00000E+00
       191  4.77500E+00  1.65022E+00  1.62722E+00  1.60000E+00 -1.75846E-01 -4.65928E-01  0.00000E+00
       192  4.80000E+00  1.64408E+00  1.61792E+00  1.60000E+00 -2.74475E-01 -4.15546E-01  0.00000E+00
       193  4.82500E+00  1.63603E+00  1.61021E+00  1.60000E+00 -3.59527E-01 -3.44618E-01  0.00000E+00
       194  4.85000E+00  1.62648E+00  1.60446E+00  1.60000E+00 -4.26807E-01 -2.56652E-01  0.00000E+00
       195  4.87500E+00  1.61590E+00  1.60097E+00  1.60000E+00 -4.72992E-01 -1.55994E-01  0.00000E+00
       196  4.90000E+00  1.60480E+00  1.59991E+00  1.60000E+00 -4.95790E-01 -4.76099E-02  0.00000E+00
       197  4.92500E+00  1.59375E+00  1.60132E+00  1.60000E+00 -4.94048E-01  6.31452E-02  0.00000E+00
       198  4.95000E+00  1.58328E+00  1.60514E+00  1.60000E+00 -4.67832E-01  1.70772E-01  0.00000E+00
       199  4.97500E+00  1.57391E+00  1.61118E+00  1.60000E+00 -4.18479E-01  2.69931E-01  0.00000E+00
       200  5.00000E+00  1.56612E+00  1.61914E+00  1.60000E+00 -3.48439E-01  3.55725E-01  0.00000E+00
       201  5.02500E+00  1.56027E+00  1.62863E+00  1.60000E+00 -2.61181E-01  4.23923E-01  0.00000E+00
       202  5.05000E+00  1.55667E+00  1.63917E+00  1.60000E+00 -1.61022E-01  4.71158E-01  0.00000E+00
       203  5.07500E+00  1.55548E+00  1.65025E+00  1.60000E+00 -5.29028E-02  4.95094E-01  0.00000E+00
       204  5.10000E+00  1.55678E+00  1.66132E+00  1.60000E+00  5.78358E-02  4.94532E-01  0.00000E+00
       205  5.12500E+00  1.56049E+00  1.67183E+00  1.60000E+00  1.65708E-01  4.69511E-01  0.00000E+00
       206  5.15000E+00  1.56642E+00  1.68126E+00  1.60000E+00  2.65383E-01  4.21280E-01  0.00000E+00
       207  5.17500E+00  1.57430E+00  1.68914E+00  1.60000E+00  3.51940E-01  3.52216E-01  0.00000E+00
       208  5.20000E+00  1.58372E+00  1.69509E+00  1.60000E+00  4.21101E-01  2.65733E-01  0.00000E+00
       209  5.22500E+00  1.59423E+00  1.69880E+00  1.60000E+00  4.69438E-01  1.66099E-01  0.00000E+00
       210  5.25000E+00  1.60530E+00  1.70011E+00  1.60000E+00  4.94537E-01  5.82365E-02  0.00000E+00
       211  5.27500E+00  1.61638E+00  1.69893E+00  1.60000E+00  4.95129E-01 -5.25093E-02  0.00000E+00
       212  5.30000E+00  1.62692E+00  1.69534E+00  1.60000E+00  4.71230E-01 -1.60636E-01  0.00000E+00
       213  5.32500E+00  1.63641E+00  1.68950E+00  1.60000E+00  4.24036E-01 -2.60796E-01  0.00000E+00
       214  5.35000E+00  1.64438E+00  1.68171E+00  1.60000E+00  3.55882E-01 -3.48049E-01  0.00000E+00
       215  5.37500E+00  1.65042E+00  1.67235E+00  1.60000E+00  2.70139E-01 -4.18087E-01  0.00000E+00
       216  5.40000E+00  1.65425E+00  1.66189E+00  1.60000E+00  1.71041E-01 -4.67447E-01  0.00000E+00
       217  5.42500E+00  1.65567E+00  1.65084E+00  1.60000E+00  6.34811E-02 -4.93688E-01  0.00000E+00
       218  5.45000E+00  1.65462E+00  1.63975E+00  1.60000E+00 -4.72200E-02 -4.95499E-01  0.00000E+00
       219  5.47500E+00  1.65113E+00  1.62917E+00  1.60000E+00 -1.55582E-01 -4.72796E-01  0.00000E+00
       220  5.50000E+00  1.64540E+00  1.61962E+00  1.60000E+00 -2.56240E-01 -4.26715E-01  0.00000E+00
       221  5.52500E+00  1.63770E+00  1.61157E+00  1.60000E+00 -3.44218E-01 -3.59532E-01  0.00000E+00
       222  5.55000E+00  1.62840E+00  1.60543E+00  1.60000E+00 -4.15177E-01 -2.74569E-01  0.00000E+00
       223  5.57500E+00  1.61798E+00  1.60149E+00  1.60000E+00 -4.65611E-01 -1.76028E-01  0.00000E+00
       224  5.60000E+00  1.60695E+00  1.59995E+00  1.60000E+00 -4.93022E-01 -6.87699E-02  0.00000E+00
       225  5.62500E+00  1.59585E+00  1.60089E+00  1.60000E+00 -4.96033E-01  4.19074E-02  0.00000E+00
       226  5.65000E+00  1.58523E+00  1.60426E+00  1.60000E+00 -4.74464E-01  1.50512E-01  0.00000E+00
       227  5.67500E+00  1.57562E+00  1.60989E+00  1.60000E+00 -4.29419E-01  2.51651E-01  0.00000E+00
       228  5.70000E+00  1.56749E+00  1.61751E+00  1.60000E+00 -3.63140E-01  3.40323E-01  0.00000E+00
       229  5.72500E+00  1.56125E+00  1.62673E+00  1.60000E+00 -2.78912E-01  4.12156E-01  0.00000E+00
       230  5.75000E+00  1.55720E+00  1.63711E+00  1.60000E+00 -1.80904E-01  4.63604E-01  0.00000E+00
